idx,file,name,arms/core,num_arms,average_arms_width,max_arm_length,avg_arm_length,sum_arm_length,core_area,body_area,arms_area,core/arms,core_bounding_box,core_center,tile_row,tile_col,x,y,core_w,core_h,total_bodies_count
18,,2_3_18,3.376251788268956,7,4.149005686815984,219.17871344089508,65.91240906715393,461.3868634700775,349.5,1529.5,1180.0,0.2961864406779661,"[3432, 268, 34, 33]","[3450, 289]",2,3,3328,13312,34,33,1
19,,2_3_19,4.266081871345029,6,4.070874566297033,230.02438521385193,88.19561008612315,529.1736605167389,342.0,1801.0,1459.0,0.23440712816997944,"[2874, 189, 24, 27]","[2884, 202]",2,3,3328,13312,24,27,1
20,,2_3_20,3.9968944099378882,6,3.1991180420890712,243.86500465869904,97.15229588747025,582.9137753248215,322.0,1609.0,1287.0,0.2501942501942502,"[3811, 2312, 27, 20]","[3824, 2321]",2,3,3328,13312,27,20,1
21,,2_3_21,3.279620853080569,8,4.086734398254825,162.6101711988449,39.384775906801224,315.0782072544098,316.5,1354.5,1038.0,0.30491329479768786,"[3939, 156, 35, 23]","[3958, 166]",2,3,3328,13312,35,23,1
22,,2_3_22,4.423076923076923,8,4.965447850554114,339.56348860263824,78.46929919719696,627.7543935775757,312.0,1692.0,1380.0,0.22608695652173913,"[3609, 575, 30, 17]","[3623, 583]",2,3,3328,13312,30,17,1
23,,2_3_23,1.7055016181229774,5,3.3469413449533647,59.455843567848206,25.216651964187623,126.08325982093811,309.0,836.0,527.0,0.5863377609108159,"[2537, 3096, 21, 25]","[2546, 3108]",2,3,3328,13312,21,25,1
24,,2_3_24,1.6666666666666667,8,3.0957417329238153,50.21320307254791,21.0156112909317,168.1248903274536,306.0,816.0,510.0,0.6,"[3784, 161, 29, 20]","[3799, 170]",2,3,3328,13312,29,20,1
25,,2_3_25,1.867986798679868,8,3.413284040864552,92.18376553058624,30.068911999464035,240.55129599571228,303.0,869.0,566.0,0.5353356890459364,"[3720, 833, 19, 26]","[3729, 846]",2,3,3328,13312,19,26,1
26,,2_3_26,2.698675496688742,6,4.077161279208979,110.25483298301697,43.18951370318731,259.13708221912384,302.0,1117.0,815.0,0.37055214723926383,"[3554, 3649, 29, 23]","[3569, 3661]",2,3,3328,13312,29,23,1
27,,2_3_27,3.284525790349418,8,4.965854217731397,196.58073341846466,43.42030972242355,347.3624777793884,300.5,1287.5,987.0,0.3044579533941236,"[3279, 1096, 22, 24]","[3288, 1108]",2,3,3328,13312,22,24,1
28,,2_3_28,6.924874791318865,7,6.052540494202288,358.6761865615845,119.02757024765015,833.192991733551,299.5,2373.5,2074.0,0.1444069431051109,"[3231, 676, 27, 28]","[3247, 687]",2,3,3328,13312,27,28,1
31,,2_3_31,6.007181328545781,6,5.4885732143159185,205.68123936653137,119.5517906943957,717.3107441663742,278.5,1951.5,1673.0,0.16646742378959953,"[3988, 1932, 36, 24]","[4001, 1942]",2,3,3328,13312,36,24,1
32,,2_3_32,5.945652173913044,6,4.524571324409553,517.3036026954651,121.61879392464955,729.7127635478973,276.0,1917.0,1641.0,0.16819012797074953,"[2827, 1336, 23, 22]","[2837, 1347]",2,3,3328,13312,23,22,1
33,,2_3_33,3.6987295825771325,8,3.5006473523753927,125.22539520263672,60.72729016840458,485.81832134723663,275.5,1294.5,1019.0,0.2703631010794897,"[3631, 921, 25, 27]","[3642, 933]",2,3,3328,13312,25,27,1
34,,2_3_34,6.757855822550832,10,4.880284811135427,215.93607199192047,76.88376537561416,768.8376537561417,270.5,2098.5,1828.0,0.14797592997811815,"[3693, 491, 52, 21]","[3722, 499]",2,3,3328,13312,52,21,1
35,,2_3_35,3.5567970204841712,7,3.1512107642974723,160.19595789909363,62.63510547365461,438.4457383155823,268.5,1223.5,955.0,0.281151832460733,"[3857, 1867, 24, 20]","[3868, 1876]",2,3,3328,13312,24,20,1
36,,2_3_36,1.6067415730337078,3,4.233079754033451,73.5979790687561,35.13232286771139,105.39696860313416,267.0,696.0,429.0,0.6223776223776224,"[2501, 1808, 20, 23]","[2510, 1819]",2,3,3328,13312,20,23,1
37,,2_3_37,3.020637898686679,7,2.7027356087778043,153.02438485622406,55.92502510547638,391.47517573833466,266.5,1071.5,805.0,0.331055900621118,"[2707, 1816, 40, 32]","[2731, 1833]",2,3,3328,13312,40,32,1
38,,2_3_38,3.49609375,5,3.3107616901227037,134.71067714691162,60.24406869411469,301.2203434705734,256.0,1151.0,895.0,0.2860335195530726,"[3736, 633, 26, 29]","[3750, 644]",2,3,3328,13312,26,29,1
41,,2_3_41,2.6626262626262625,4,4.888291481438786,55.11269783973694,42.46320304274559,169.85281217098236,247.5,906.5,659.0,0.37556904400606983,"[2603, 1688, 18, 32]","[2611, 1704]",2,3,3328,13312,18,32,1
42,,2_3_42,4.0,3,3.88163577322295,321.94826459884644,136.03419744968414,408.10259234905243,243.5,1217.5,974.0,0.25,"[3475, 792, 35, 16]","[3492, 797]",2,3,3328,13312,35,16,1
43,,2_3_43,2.034934497816594,6,2.747870866461908,96.56854140758514,24.9468731880188,149.6812391281128,229.0,695.0,466.0,0.49141630901287553,"[2254, 2058, 21, 22]","[2264, 2066]",2,3,3328,13312,21,22,1
45,,2_3_45,5.006622516556291,6,3.6331385799481297,335.4629831314087,94.82386869192123,568.9432121515274,226.5,1360.5,1134.0,0.19973544973544974,"[4042, 340, 21, 23]","[4052, 349]",2,3,3328,13312,21,23,1
46,,2_3_46,7.757847533632287,8,4.3049097952302455,337.1198374032974,97.97602690756321,783.8082152605057,223.0,1953.0,1730.0,0.12890173410404623,"[2956, 2707, 31, 19]","[2974, 2716]",2,3,3328,13312,31,19,1
47,,2_3_47,5.33487297921478,4,4.4272174953602885,346.56348872184753,97.94417297840118,391.77669191360474,216.5,1371.5,1155.0,0.18744588744588744,"[2888, 1008, 20, 25]","[2897, 1018]",2,3,3328,13312,20,25,1
50,,2_3_50,1.7647058823529411,6,2.961427157873053,74.25483322143555,25.796957433223724,154.78174459934235,212.5,587.5,375.0,0.5666666666666667,"[3342, 2875, 19, 19]","[3351, 2884]",2,3,3328,13312,19,19,1
51,,2_3_51,6.883054892601432,4,6.627652130296082,425.8893892765045,119.66473525762558,478.6589410305023,209.5,1651.5,1442.0,0.14528432732316227,"[2757, 1631, 16, 25]","[2764, 1641]",2,3,3328,13312,16,25,1
52,,2_3_52,5.541463414634146,5,4.992276140549264,167.92387998104095,65.25828213691712,326.29141068458557,205.0,1341.0,1136.0,0.18045774647887325,"[3832, 93, 34, 12]","[3849, 98]",2,3,3328,13312,34,12,1
53,,2_3_53,6.090452261306533,3,4.208320027883824,166.19595766067505,155.51541435718536,466.5462430715561,199.0,1411.0,1212.0,0.16419141914191418,"[2709, 1518, 21, 17]","[2719, 1525]",2,3,3328,13312,21,17,1
54,,2_3_54,3.7591623036649215,6,3.0453836896942716,153.78174448013306,48.81777240832647,292.9066344499588,191.0,909.0,718.0,0.266016713091922,"[2199, 3089, 16, 19]","[2207, 3097]",2,3,3328,13312,16,19,1
55,,2_3_55,3.485411140583554,3,3.2789123903101816,131.0538226366043,84.56447704633077,253.6934311389923,188.5,845.5,657.0,0.286910197869102,"[3482, 3928, 19, 21]","[3490, 3937]",2,3,3328,13312,19,21,1
56,,2_3_56,4.526315789473684,6,3.04161278494667,240.6639939546585,65.93131224314372,395.5878734588623,180.5,997.5,817.0,0.22093023255813954,"[3159, 2203, 18, 16]","[3167, 2210]",2,3,3328,13312,18,16,1
58,,2_3_58,7.788856304985337,8,4.413936184961894,247.93607223033905,69.95521199703217,559.6416959762573,170.5,1498.5,1328.0,0.12838855421686746,"[2514, 85, 34, 22]","[2526, 94]",2,3,3328,13312,34,22,1
59,,2_3_59,5.435435435435435,3,3.020735513499828,256.208150267601,138.66329820950827,415.9898946285248,166.5,1071.5,905.0,0.1839779005524862,"[2641, 2790, 17, 23]","[2647, 2802]",2,3,3328,13312,17,23,1
60,,2_3_60,6.018237082066869,8,3.4012686027319345,100.42640590667725,46.57931952178478,372.63455617427826,164.5,1154.5,990.0,0.16616161616161615,"[3723, 37, 39, 26]","[3746, 46]",2,3,3328,13312,39,26,1
61,,2_3_61,3.221183800623053,3,2.9963990038857644,108.74011468887329,63.50322222709656,190.50966668128967,160.5,677.5,517.0,0.3104448742746615,"[3964, 3951, 15, 18]","[3970, 3959]",2,3,3328,13312,15,18,1
63,,2_3_63,5.559105431309904,8,4.281941851945877,115.59797894954681,38.12589247524738,305.00713980197906,156.5,1026.5,870.0,0.17988505747126438,"[3544, 453, 21, 17]","[3553, 460]",2,3,3328,13312,21,17,1
64,,2_3_64,6.166112956810632,4,4.833033190768227,65.59797978401184,35.81675651669502,143.2670260667801,150.5,1078.5,928.0,0.16217672413793102,"[2934, 2161, 14, 26]","[2940, 2173]",2,3,3328,13312,14,26,1
